gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT 
 3428c990-d0bf-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:58:44 GMT-0700 (Pacific Daylight Time), 43361, USA, 79371,  INDIA, False, True 
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1, 1, 0, 43361, 1, 10, 2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1,
67, 23, 1, 79371, 1, 7, 7,0,1.67,5.01,
68, 24, 1, 79371, 0, 3, 7,0,1.67,5.01,0.15, 0.85, 0.7, 0.3,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1,
69, 25, 1, 43361, 0, 6, 7,0,1.67,5.01,
70, 26, 1, 43361, 1, 4, 12,0,1.67,5.01,
71, 27, 1, 79371, 0, 6, 12,0,1.67,5.01,
72, 28, 1, 79371, 0, 5, 12,0,1.67,5.01,
73, 29, 1, 43361, 0, 4, 12,0,1.67,5.01,
74, 30, 1, 79371, 0, 10, 12,0,1.67,5.01,
75, 31, 1, 43361, 1, 7, 12,0,2.92,5.01,
76, 32, 1, 79371, 0, 3, 12,0,2.92,5.01,
77, 33, 1, 43361, 1, 3, 12,0,4.17,5.01,
78, 34, 1, 79371, 0, 3, 12,0,4.17,5.01,0.06, 0.94, 0.61, 0.39,0,1,0.6000000000000001,0.4, 0 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1,
79, 35, 1, 43361, 0, 5, 12,0,4.17,5.01,
