gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,,,,,,,,,,
 1b0bf110-d17f-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:52:25 GMT-0700 (Pacific Daylight Time),99332, USA,14412,  INDIA, True, False ,,,,,,,,,,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns ,,,,,,,,,
52,8,1, A2TZDN1NZBZ3V6,1,6,2,4.5,-,-,,,,,,,,,,,,,,,,,,
53,9,1,99332,0,7,2,4.5,-,-,,,,,,,,,,,,,,,,,,
54,10,1,99332,1,7,3.67,4.5,-,-,,,,,,,,,,,,,,,,,,
55,11,1, A2TZDN1NZBZ3V6,1,10,3.67,7,-,-,,,,,,,,,,,,,,,,,,
56,12,1, A2TZDN1NZBZ3V6,0,6,3.67,7,-,-,,,,,,,,,,,,,,,,,,
57,13,1,99332,1,10,5.34,7,-,-,,,,,,,,,,,,,,,,,,
58,14,1,99332,1,1,7.01,7,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0,,,,,,,,,
59,15,1,99332,0,10,7.01,7,-,-,,,,,,,,,,,,,,,,,,
60,16,1,99332,1,6,8.68,7,-,-,,,,,,,,,,,,,,,,,,
61,17,1, A2TZDN1NZBZ3V6,1,4,8.68,9.5,-,-,,,,,,,,,,,,,,,,,,
62,18,1, A2TZDN1NZBZ3V6,0,7,8.68,9.5,-,-,,,,,,,,,,,,,,,,,,
63,19,1,99332,1,10,10.35,9.5,-,-,,,,,,,,,,,,,,,,,,
64,20,1,99332,0,7,10.35,9.5,-,-,,,,,,,,,,,,,,,,,,
65,21,1, A2TZDN1NZBZ3V6,1,10,10.35,12,-,-,,,,,,,,,,,,,,,,,,
66,22,1, A2TZDN1NZBZ3V6,1,4,10.35,14.5,-,-,,,,,,,,,,,,,,,,,,
67,23,1,99332,1,10,12.02,14.5,-,-,,,,,,,,,,,,,,,,,,
68,24,1,99332,1,7,13.69,14.5,-,-,0.55,0.45,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0,,,,,,,,,
69,25,1,99332,0,7,13.69,14.5,-,-,,,,,,,,,,,,,,,,,,
70,26,1,99332,1,8,15.36,14.5,-,-,,,,,,,,,,,,,,,,,,
71,27,1, A2TZDN1NZBZ3V6,1,10,15.36,17,-,-,,,,,,,,,,,,,,,,,,
72,28,1, A2TZDN1NZBZ3V6,0,2,15.36,17,-,-,,,,,,,,,,,,,,,,,,
73,29,1,99332,0,4,15.36,17,-,-,,,,,,,,,,,,,,,,,,
74,30,1,99332,1,5,17.03,17,-,-,,,,,,,,,,,,,,,,,,
75,31,1, A2TZDN1NZBZ3V6,0,5,17.03,17,-,-,,,,,,,,,,,,,,,,,,
76,32,1, A2TZDN1NZBZ3V6,0,5,17.03,17,-,-,,,,,,,,,,,,,,,,,,
77,33,1,99332,0,7,17.03,17,-,-,,,,,,,,,,,,,,,,,,
78,34,1,99332,1,4,18.7,17,-,-,0.4,0.6,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1,,,,,,,,,
79,35,1,99332,0,6,18.7,17,-,-,,,,,,,,,,,,,,,,,,
80,36,1,99332,0,10,18.7,17,-,-,,,,,,,,,,,,,,,,,,
81,37,1, A2TZDN1NZBZ3V6,1,5,18.7,18.67,-,-,,,,,,,,,,,,,,,,,,
82,38,1, A2TZDN1NZBZ3V6,1,6,18.7,20.34,-,-,,,,,,,,,,,,,,,,,,
83,39,1,99332,0,6,18.7,20.34,-,-,,,,,,,,,,,,,,,,,,
84,40,1,99332,1,4,21.2,20.34,-,-,,,,,,,,,,,,,,,,,,
85,41,1, A2TZDN1NZBZ3V6,1,4,21.2,22.01,-,-,,,,,,,,,,,,,,,,,,
86,42,1, A2TZDN1NZBZ3V6,0,8,21.2,22.01,-,-,,,,,,,,,,,,,,,,,,
87,43,1, A2TZDN1NZBZ3V6,1,3,21.2,23.68,-,-,,,,,,,,,,,,,,,,,,
88,44,1, A2TZDN1NZBZ3V6,0,5,21.2,23.68,-,-,,,,,,,,,,,,,,,,,,
