gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT 
 29bba000-d0b9-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:15:29 GMT-0700 (Pacific Daylight Time), 24752, USA, A1ZZINLCZZYOH4,  INDIA, False, True 
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
58, 14, 1, 24752, 1, 3, 3.34,0,0,4.5,0.3, 0.7, 0.76, 0.24,0.4,0.6000000000000001,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1,
59, 15, 1, A1ZZINLCZZYOH4, 1, 3, 3.34,0,0,9.5,
60, 16, 1, 24752, 1, 6, 5.84,0,0,9.5,
61, 17, 1, A1ZZINLCZZYOH4, 1, 3, 5.84,0,0,14.5,
62, 18, 1, A1ZZINLCZZYOH4, 1, 10, 5.84,1.67,0,14.5,
63, 19, 1, 24752, 0, 7, 5.84,1.67,0,14.5,
64, 20, 1, 24752, 1, 3, 8.34,1.67,0,14.5,
65, 21, 1, 24752, 0, 6, 8.34,1.67,0,14.5,
66, 22, 1, A1ZZINLCZZYOH4, 0, 8, 8.34,1.67,0,14.5,
67, 23, 1, 24752, 0, 3, 8.34,1.67,0,14.5,
68, 24, 1, A1ZZINLCZZYOH4, 0, 3, 8.34,1.67,0,14.5,0.16, 0.84, 0.97, 0.03,0.2,0.8,1,0, 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1,
69, 25, 1, A1ZZINLCZZYOH4, 0, 7, 8.34,1.67,0,NaN,
70, 26, 1, 24752, 0, 5, 8.34,1.67,0,,
71, 27, 1, 24752, 1, 10, 8.34,1.67,1,,
72, 28, 1, A1ZZINLCZZYOH4, 0, 7, 8.34,1.67,1,,
73, 29, 1, 24752, 0, 3, 8.34,1.67,1,,
74, 30, 1, A1ZZINLCZZYOH4, 0, 5, 8.34,1.67,1,,
75, 31, 1, 24752, 1, 4, 8.34,1.67,2,,
76, 32, 1, A1ZZINLCZZYOH4, 0, 4, 8.34,1.67,2,,
77, 33, 1, 24752, 0, 4, 8.34,1.67,2,,
78, 34, 1, A1ZZINLCZZYOH4, 1, 1, 8.34,2.92,2,,
