gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,,,,,,,,,,
 a246c2d0-d0c2-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 09:23:17 GMT-0700 (Pacific Daylight Time),25609, USA,79371,  INDIA, False, True ,,,,,,,,,,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns ,,,,,,,,,
59,15,1,25609,1,10,7,1.67,9.5,3.34,,,,,,,,,,,,,,,,,,
60,16,1,25609,1,10,12,1.67,9.5,3.34,,,,,,,,,,,,,,,,,,
61,17,1,79371,1,1,12,1.67,9.5,5.01,,,,,,,,,,,,,,,,,,
62,18,1,79371,0,7,12,1.67,9.5,5.01,,,,,,,,,,,,,,,,,,
63,19,1,25609,1,10,12,1.67,12,5.01,,,,,,,,,,,,,,,,,,
64,20,1,79371,0,4,12,1.67,12,5.01,,,,,,,,,,,,,,,,,,
65,21,1,79371,1,5,12,1.67,12,6.68,,,,,,,,,,,,,,,,,,
66,22,1,79371,0,10,12,1.67,12,6.68,,,,,,,,,,,,,,,,,,
67,23,1,79371,1,6,12,1.67,12,8.35,,,,,,,,,,,,,,,,,,
68,24,1,79371,0,4,12,1.67,12,8.35,0.16,0.84,0.51,0.49,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1,,,,,,,,,
69,25,1,25609,1,1,12,1.67,13.67,8.35,,,,,,,,,,,,,,,,,,
70,26,1,25609,1,10,17,1.67,13.67,8.35,,,,,,,,,,,,,,,,,,
71,27,1,79371,0,7,17,1.67,13.67,8.35,,,,,,,,,,,,,,,,,,
72,28,1,79371,0,5,17,1.67,13.67,8.35,,,,,,,,,,,,,,,,,,
73,29,1,25609,1,10,17,1.67,15.34,8.35,,,,,,,,,,,,,,,,,,
74,30,1,79371,0,8,17,1.67,15.34,8.35,,,,,,,,,,,,,,,,,,
75,31,1,79371,1,4,17,1.67,15.34,10.85,,,,,,,,,,,,,,,,,,
76,32,1,79371,0,5,17,1.67,15.34,10.85,,,,,,,,,,,,,,,,,,
77,33,1,25609,1,10,17,1.67,17.01,10.85,,,,,,,,,,,,,,,,,,
